172.20.0.1 - - [06/Nov/2024:14:36:52 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.81.0" "-"
172.18.0.1 - - [07/Nov/2024:09:59:50 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [07/Nov/2024:11:06:36 +0000] "GET / HTTP/1.1" 200 615 "https://github.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36" "10.240.0.10"
172.18.0.1 - - [07/Nov/2024:11:06:36 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "https://glorious-computing-machine-qv6p9gx4p5347g5-8080.app.github.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36" "10.240.0.10"
172.18.0.1 - - [08/Nov/2024:12:40:51 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:41:21 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:41:21 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:41:22 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:55:50 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:56:13 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:12:56:14 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:19:44 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:19:45 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:19:46 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:19:55 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:19:59 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
172.18.0.1 - - [08/Nov/2024:14:20:44 +0000] "GET / HTTP/1.1" 200 615 "-" "curl/7.68.0" "-"
